Author,Unique_sequences
"Banerjee et al., 2017",3471165
"Bashford et al., 2013",258244
"Bender et al., 2020",1116910
"Bernardes et al., 2020",2964206
"Bernat et al., 2019",3145518
"Bhiman et al., 2015",217774
"Bolland et al., 2016",27586
"Bonsignori et al., 2016",202686
"Briney et al., 2019",940325286
"Buchheim et al., 2020",5228912
"Chen et al., 2020",2919022
"Collins et al., 2015",359456
"Corcoran et al., 2016",4874953
"Cui et al., 2019",1051112
"Davis et al., 2019",11903910
"Doria-Rose et al., 2015",941338
"Eccles et al., 2020",14368
"Eliyahu et al., 2015",1621889
"Ellebedy et al., 2016",11311686
"Fisher et al., 2017",160348
"Galson et al., 2015",15853773
"Galson et al., 2016",16097090
"Galson et al., 2020",4590430
"Galson_2015 et al., 2015",3921185
"Ghraichy et al., 2020",8273722
"Gidoni et al., 2019",26365506
"Greif et al., 2015",552021
"Greiff et al., 2014",3419149
"Greiff et al., 2017",138799900
"Gupta et al., 2017",12344343
"Halliley et al., 2015",593276
"Huang et al., 2016",7137496
"Jaffe et al., 2022",2608459
"Jiang et al., 2013",3654858
"Johnson et al., 2018",10511335
"Joyce et al., 2016",1561309
"Khan et al., 2016",12009547
"Kim et al., 2020",64724433
"King et al., 2020",13766337
"Kuri-Cervantes et al., 2020",8750967
"Levin et al., 2016",675855
"Levin et al., 2017",13054674
"Li et al., 2017",1601636
"Liao et al., 2013",745021
"Lindner et al., 2015",741524
"Meng et al., 2017",32199045
"Menzel et al., 2014",8250994
"Montague et al., 2021",10165758
"Mor et al., 2021",220555
"Mroczek et al., 2014",121461
Mukhamedova et al. 2021,900259
"Nielsen et al., 2020",12109835
"Ohm-Laursen et al., 2018",7197800
"Ota et al., 2010",20127
"Palanichamy et al., 2014",339567
"Parameswaran et al., 2014",314089
"Prohaska et al., 2018",254967
"Rettig et al., 2018",58657
"Richardson et al., 2022",406852
"Rubelt et al., 2016",2239072
"Schanz et al., 2014",6012657
"Schultheiss et al., 2020",4727568
"Setliff et al., 2018",24368105
"Sevy et al., 2019",18726977
"Sheng et al., 2017",1297691
"Simonich et al., 2020",2093247
"Soto et al., 2016",756243
"Soto et al., 2019",795996521
"Stern et al., 2014",10094238
"Sundling et al., 2014",130199
"Tipton et al., 2015",15657971
"Tong et al., 2017",59330
"Turchaninova et al., 2015",201371
"Turner et al., 2021",1603509
"VanDuijn et al., 2017",5241023
"Vander Heiden et al., 2017",7848898
"Vergani et al., 2017",13454521
"Waltari et al., 2018",74684392
"Wesemann et al., 2013",66936
"Woodruff et al., 2020",63860
"Wu et al., 2011",309257
"Wu et al., 2014",37499
"Wu et al., 2015",2234305
"Zhou et al., 2013",993835
"Zhou et al., 2015",383173
"Zhu et al., 2012",315095
"Zhu et al., 2013",896354
